method,variant,seed,perm,bary_file,nobary_file,n_samples_bary,n_samples_nobary,n_dim,fom3_bary,fom3_nobary,fom3_ratio_bary_over_nobary,fom3_bary_valid,fom3_nobary_valid,logdet_cov3_bary,logdet_cov3_nobary,d_truth,d_shift,d_truth_valid,d_shift_valid,delta_truth_om,delta_truth_s8,delta_truth_w0,delta_shift_om,delta_shift_s8,delta_shift_w0,norm_truth_om,norm_truth_s8,norm_truth_w0,norm_shift_om,norm_shift_s8,norm_shift_w0
l1vmim,tomo4_20deg160,41,3,l1vmim_tomo4_20deg160_bary_perm0003_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,4,l1vmim_tomo4_20deg160_bary_perm0004_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,5,l1vmim_tomo4_20deg160_bary_perm0005_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,6,l1vmim_tomo4_20deg160_bary_perm0006_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,7,l1vmim_tomo4_20deg160_bary_perm0007_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,8,l1vmim_tomo4_20deg160_bary_perm0008_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,9,l1vmim_tomo4_20deg160_bary_perm0009_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,10,l1vmim_tomo4_20deg160_bary_perm0010_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,11,l1vmim_tomo4_20deg160_bary_perm0011_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
l1vmim,tomo4_20deg160,41,12,l1vmim_tomo4_20deg160_bary_perm0012_s41.npy,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,11664.241941716857,10326.256876222484,1.1295711584102903,True,True,-18.72856639327185,-18.48489028354768,1.4627548925399245,1.5354128792217814,True,True,0.018918236494064322,-0.0466317796707153,-0.06233334541320801,-0.007519453763961792,-0.02095693349838257,-0.1405467987060547,0.47929342019885357,-0.9344052078184124,-0.3046218425070346,-0.19050532081503307,-0.4199339578946083,-0.6868494622981005
